ticker,label,section,harmonized_name,application_count,reason
MU,Micron,excluded,MICRONAN INC,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONATURE S R L,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONIC TECHNOLOGIES LLC,1,"excluded by MICRONIC%: Micronic Laser Systems / Mydata AB — Swedish lithography company (and MICRONICS* entities), unrelated to Micron Technology"
MU,Micron,excluded,MICRONOSE TECHNOLOGIES LLC,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONIX USA,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONIC LASERSYSTEMS AB,1,"excluded by MICRONIC%: Micronic Laser Systems / Mydata AB — Swedish lithography company (and MICRONICS* entities), unrelated to Micron Technology"
MU,Micron,excluded,MICRON S A L,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONIA AMPLIFIER CORP,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONETICS WIRELESS INC,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRON PHARMAWORKS INC,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONA AB,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONETICS WIRELESS,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONAS SEMICONDUCTOR SA,1,"excluded by MICRONAS%: Micronas GmbH/Intermetall — German semiconductor company (Hall sensors), unrelated to Micron Technology"
MU,Micron,excluded,MICRONIX INTERNAT CO LTD,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRON OPTICAL SYSTEMS,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRON ELECTRIC CO LTD,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONIC LASER SYSTEM AB,1,"excluded by MICRONIC%: Micronic Laser Systems / Mydata AB — Swedish lithography company (and MICRONICS* entities), unrelated to Micron Technology"
MU,Micron,excluded,MICRONAIR LLC,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONASA DI PATARCHI ALBERTO,1,"excluded by MICRONAS%: Micronas GmbH/Intermetall — German semiconductor company (Hall sensors), unrelated to Micron Technology"
MU,Micron,excluded,MICRON DIAMOND WIRE & EQUIPMENT CO LTD,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONIC FILTRATION INC,1,"excluded by MICRONIC%: Micronic Laser Systems / Mydata AB — Swedish lithography company (and MICRONICS* entities), unrelated to Micron Technology"
MU,Micron,excluded,MICRON SEALING CORP,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONICS LLC,1,"excluded by MICRONIC%: Micronic Laser Systems / Mydata AB — Swedish lithography company (and MICRONICS* entities), unrelated to Micron Technology"
MU,Micron,excluded,MICRON DENTAL MANUFACTURING IN,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRON OPTICS,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRON WASTE TECH INC,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONIC HOLDING B V,1,"excluded by MICRONIC%: Micronic Laser Systems / Mydata AB — Swedish lithography company (and MICRONICS* entities), unrelated to Micron Technology"
MU,Micron,excluded,MICRON VIEW LTD,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONIC GOLD RECOVERIES INC,1,"excluded by MICRONIC%: Micronic Laser Systems / Mydata AB — Swedish lithography company (and MICRONICS* entities), unrelated to Micron Technology"
MU,Micron,excluded,MICRONSEP S R L,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRON DENTAL MFG INC,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONUTRIENT LLC,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONVENTION INC,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRON COATING INC,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRON MOTION IC,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRON RES AND DEV CORP,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
